flashier_factor,best_rqvi_gp,best_corr
F1,186,0.48705741170686967
F2,59,0.9635706488656823
F3,21,0.722723563391471
F4,18,0.38773202803684054
F5,60,0.9755394055067201
F6,32,0.6575079745374974
F7,97,0.9437667971091064
F8,21,0.8057332548608371
F9,2,0.42792899665803774
F10,70,0.9039736349813434
F11,9,0.5894929437039239
F12,0,0.6314767184642148
F13,32,0.9135734119875832
F14,97,0.9263555570759917
F15,88,0.8637437949582192
F16,31,0.978878649397784
F17,229,0.5145315880728232
F18,174,0.8026946116745055
F19,127,0.540346213504581
F20,60,0.923977959762146
F21,60,0.9907963969919859
F22,16,0.7028384389665505
F23,109,0.4465112932646969
F24,175,0.4651454927795696
F25,5,0.6680800133371856
F26,3,0.656439093636649
F27,48,0.8126969080718656
F28,43,0.636319317714833
F29,41,0.6388579667247172
F30,120,0.5778805871987153
F31,140,0.37750155743815467
F32,165,0.5468585609398174
F33,123,0.349408713265291
F34,110,0.8268401183411647
F35,137,0.5984067932730229
F36,127,0.8642648275170502
F37,28,0.9111878591801508
F38,75,0.5511156078916947
F39,111,0.682820548058936
F40,57,0.8267946889568472
F41,74,0.6579176111971469
F42,48,0.40041294047740844
F43,99,0.40248335438834626
F44,229,0.5674455076902049
F45,127,0.4374807394317025
F46,110,0.5540098808290455
F47,3,0.4575374790477653
F48,128,0.46905335935292547
F49,47,0.5176288322363181
F50,246,0.9282058968439543
F51,128,0.28513903334502555
F52,237,0.6119461407945544
F53,21,0.7462130573194927
F54,166,0.516785100055286
F55,28,0.7627078369694422
F56,154,0.7516375713897493
F57,204,0.47802600150826946
F58,166,0.7287867908865127
F59,204,0.30889840633398147
F60,229,0.8721945192001872
F61,7,0.49649793576065876
F62,55,0.8165552696980799
F63,41,0.4579497407458309
F64,111,0.44604450835102155
F65,111,0.7094830280283446
F66,57,0.5542382490411032
F67,57,0.517304083695716
F68,116,0.8280145999731906
F69,63,0.46300751970219267
F70,127,0.6570717738548131
F71,48,0.38792821664632304
F72,201,0.7464129809725075
F73,43,0.4699915736120477
F74,168,0.3838723220185517
F75,21,0.3800168255022427
F76,229,0.6262246469465778
F77,28,0.9432809365631667
F78,229,0.6463004523095721
F79,63,0.4895435530305288
F80,178,0.5368665879076945
F81,128,0.5249310357826277
F82,227,0.39486766283981317
F83,127,0.6002508084551698
F84,3,0.6377497646373678
F85,21,0.5747914419938949
F86,137,0.46543160524048593
F87,233,0.4599255367354852
F88,226,0.4155842916162901
F89,111,0.8176206942249729
F90,111,0.5502847330321529
F91,27,0.3829344821953153
F92,226,0.4864284201910248
F93,21,0.801420525312532
F94,111,0.6933997350840291
F95,204,0.48204278143855556
F96,43,0.3779039533373959
F97,123,0.4774290269482917
F98,96,0.5091988079574964
F99,140,0.4173506414956791
F100,22,0.5364935483811694
F101,150,0.8287769937889715
F102,201,0.510072563707357
F103,226,0.4232401558394997
F104,33,0.6033122334298361
F105,41,0.3034156652446423
F106,224,0.7809030119586857
F107,21,0.8043655891917566
F108,204,0.4764587725524181
F109,221,0.5815662611531399
F110,43,0.726559307529781
F111,43,0.573034707408881
F112,43,0.533605265769171
F113,127,0.5877885584549157
F114,127,0.4514673188302737
F115,111,0.5602748868687263
F116,201,0.4621379304545688
F117,190,0.701975076386663
F118,69,0.8470886277648796
F119,174,0.8026051534035833
F120,170,0.8227349930309823
F121,59,0.6869587346564028
F122,229,0.8807312924856485
F123,77,0.6658633211524068
F124,229,0.8767911773550151
F125,80,0.6430611107232671
F126,16,0.43993654077343247
F127,16,0.712620198504628
F128,229,0.8653904363598022
F129,131,0.498181048003547
F130,204,0.4753410313441466
F131,21,0.7800000382812926
F132,225,0.3277023792762535
F133,13,0.9450189734825836
F134,229,0.865299633430092
F135,94,0.6855683117211203
F136,68,0.36348006983019115
F137,41,0.32723445548802255
F138,237,0.765054727034103
F139,59,0.39924001289704614
F140,21,0.5356223137900789
F141,237,0.5880274912112674
F142,237,0.6526926012022319
F143,111,0.5168928062006768
F144,76,0.3729391489211739
F145,111,0.5946665120372366
F146,111,0.9211200163569832
F147,111,0.6839682310066935
F148,111,0.739666321273195
F149,21,0.7142588850823706
F150,21,0.774045053406524
F151,32,0.8843182718651478
F152,48,0.7003765533160674
F153,32,0.8033545441223052
F154,174,0.866913837886536
F155,140,0.4941120988073757
F156,201,0.5847367357109612
F157,201,0.5811908244998123
F158,68,0.38269429774671854
F159,154,0.7490433477328541
F160,233,0.42154768097885514
F161,127,0.7828639604336293
F162,32,0.781789573491525
F163,123,0.7268450475495523
F164,127,0.533365016732797
F165,116,0.7193677356694111
F166,109,0.4617068128651874
F167,57,0.7253932383660678
F168,255,0.5726048412065623
F169,246,0.9290561311449942
F170,139,0.35629783258128817
F171,115,0.5156048527034434
F172,75,0.36098235375811444
F173,53,0.6470361111303273
F174,88,0.641862776340726
F175,111,0.9182147397030533
F176,3,0.5589672867681829
F177,201,0.7161024938131786
F178,33,0.37268649911753643
F179,129,0.8697819681661575
F180,3,0.8760433634191788
F181,67,0.7313983630687002
F182,5,0.5557772813686344
F183,129,0.7998999135696997
F184,140,0.5057001447291776
F185,43,0.7321792109025632
F186,244,0.44596310562564423
F187,43,0.49485532540427796
F188,24,0.5967630949853504
F189,28,0.6919953829901021
F190,33,0.4179564856647212
F191,32,0.5146516299215751
F192,41,0.48145996255688145
F193,30,0.5041412873867205
F194,63,0.45738553799566
F195,72,0.5249536403291286
F196,21,0.546086172584461
F197,21,0.7206914999549778
F198,109,0.49914588352138123
F199,221,0.5045512923063808
F200,21,0.7914538384747004
